Task,Item,Task Title,Desciption
1,,Workshop Skills,
1.1,a,2D art skills,"Weekly skills workshop logs which demonstrate what you have learnt in each session, which include screenshots and annotations."
1.2,b,3D art skills,"Weekly skills workshop logs which demonstrate what you have learnt in each session, which include screenshots and annotations."
1.3,c,Programming Skills,"Weekly skills workshop logs which demonstrate what you have learnt in each session, which include screenshots and annotations."
2,,Careers,
2.1a,a,Job Roles,List and mindmap different job roles within the Games industry. Descibe the Pros and Cons.  
2.1b,b,Types of employment,"Identify the Pros & Cons of different employment opportunities (freelance, full-time, part-time)"
2.2,c,Job Spec's,"Critical evaluation: Describe 2 job roles, highlighting the skills required and why."
3,,Awareness,
3.1,a,Discussion,"In groups research, discuss and evaluate violence, equality and diversity, and the representation of minorities within video games."
3.2,b,Analyse 3 games,Analyse and compare 3 games looking at the representation of characters.
3.2,c,Report,Report analyse findings of the representation of characters.
4,,Research,
4.1,a,Research Tools & Methods,"Provide a report of Primary, Secondary, Quantitative and Qualitative research and explain the differences. List types of research and the type of research they might be."
4.2,b,Research Collection,"Collect 2D, 3D, and programming research for the brief."
4.3,c,Design methods & Tools,Explain design methods and tools.
4.4,d,Health & safety,List and explain 5 top Health and Safety tips.
4.5a,e,Ideas Generation: 2D,Produce test peices and experiments which work towards forfilling the brief.
4.5b,f,Ideas Generation: 3D,Produce test peices and experiments which work towards forfilling the brief.
4.5c,g,Ideas Generation: Programming,Produce test peices and experiments which work towards forfilling the brief.
4.6a,h,Final Prototypes: 2D,Complete Final artwork
4.6b,i,Final Prototypes: 3D,Complete Final artwork
4.6c,j,Final Prototypes: Programming,Complete final prototype
4.7,k,Development log,"Document, record, and annotate your process and learning while creating your final work."
5,,Evaluation,
5.1,a,Final Evaluation,Written report reflecting on your experience of the whole project and your final peice.
5.2,b,Peer Reviews,"Taking part in evaluation of others work, and also documenting feedback recieved from others about your own work."
